time,S_mixed_0Ua,S_mixed_0.125Ua,S_mixed_0.25Ua,S_mixed_0.375Ua,S_mixed_0.5Ua,S_mixed_0.625Ua,S_mixed_0.75Ua,S_mixed_0.875Ua,S_mixed_1.0Ua
2.76,0.339742022,0.352400154,0.37057821,0.387305297,0.440104762,0.451904761,0.483346751,0.529418407,0.632859476
2.82,0.345577377,0.351059211,0.377674733,0.388580224,0.441300589,0.455844075,0.484757586,0.538804048,0.644702628
2.88,0.346907836,0.358548352,0.379576029,0.393114753,0.443003741,0.457783546,0.487640691,0.542220467,0.649135657
2.94,0.348099698,0.360586754,0.380723171,0.39416142,0.444924314,0.46143308,0.489991994,0.544793924,0.654764701
3,0.353520827,0.360393778,0.383370398,0.393390264,0.444490429,0.464419784,0.489325818,0.547793096,0.658806792
3.06,0.354693402,0.36536109,0.382433685,0.398020078,0.44933692,0.466138,0.495278096,0.551118568,0.661961388
3.12,0.353577802,0.366841386,0.384952766,0.399265078,0.451501572,0.46915281,0.497086725,0.555370854,0.666024479
3.18,0.359143937,0.368816048,0.389172124,0.402056607,0.454292168,0.472178205,0.500136516,0.557221101,0.668133761
3.24,0.357354518,0.371600393,0.390029746,0.403787991,0.457179027,0.474567278,0.502548536,0.556515091,0.666623302
3.3,0.361752065,0.372864621,0.389986404,0.404684143,0.45732645,0.477721107,0.502498945,0.565160718,0.674831863
3.36,0.364685797,0.370332634,0.394898849,0.40853452,0.459722054,0.47977362,0.507450931,0.567507604,0.679501038
3.42,0.367308307,0.374710659,0.397175506,0.409899644,0.462390527,0.481971352,0.509854944,0.571528184,0.684686835
3.48,0.369091892,0.371329259,0.395391446,0.412295067,0.463737048,0.483655004,0.511440228,0.574032673,0.687175559
3.54,0.367293846,0.371997548,0.397345949,0.41394468,0.466048572,0.485412158,0.512968409,0.577408188,0.693488359
3.6,0.368472038,0.379755081,0.402054853,0.414217496,0.467776467,0.48762406,0.516222331,0.580039128,0.697745318
3.66,0.373820132,0.381584687,0.402652098,0.417254291,0.469294018,0.488467234,0.518908257,0.582918407,0.700060646
3.72,0.374464945,0.384007365,0.402648526,0.419382974,0.470617876,0.487012341,0.52069719,0.583137732,0.701711678
3.78,0.377720315,0.383434513,0.402645687,0.418487623,0.472246095,0.490740519,0.517372834,0.586376927,0.701348857
3.84,0.379531161,0.383740744,0.406591477,0.422550157,0.473922395,0.492861662,0.524031374,0.592335405,0.71031562
3.9,0.379325817,0.387693619,0.406390411,0.424190441,0.474869266,0.495439969,0.527089814,0.595268537,0.71236006
3.96,0.380936932,0.38889902,0.410058,0.424643285,0.474875903,0.496625142,0.52864258,0.598003092,0.716914411
4.02,0.383449972,0.390829068,0.411863899,0.426212085,0.476874093,0.497897137,0.530014435,0.599989581,0.721535073
4.08,0.378854737,0.391174509,0.413026426,0.427634631,0.478049797,0.499109358,0.531637605,0.603737994,0.72575183
4.14,0.384051501,0.386134504,0.415125959,0.430009035,0.480794495,0.50017994,0.533506734,0.606357381,0.728703997
4.2,0.385962333,0.390063111,0.416429089,0.431255922,0.483037845,0.501195512,0.535600118,0.610187296,0.731198002
4.26,0.386600817,0.395346313,0.412670761,0.427873088,0.483500163,0.501723786,0.537190243,0.606321188,0.733913793
4.32,0.390073808,0.396338993,0.417711901,0.433665374,0.485288974,0.503575241,0.538766035,0.61578656,0.737343894
4.38,0.392048351,0.39759771,0.415022285,0.435086637,0.486882853,0.504938861,0.540536021,0.617834389,0.739684386
4.44,0.392406743,0.398426189,0.41723654,0.436327725,0.489493522,0.505610838,0.541838689,0.621699114,0.744774708
4.5,0.393813735,0.394249938,0.420154353,0.437427512,0.490553078,0.502213322,0.538220814,0.623708837,0.747091751
4.56,0.390728698,0.400831181,0.419593039,0.437467148,0.491301518,0.506761903,0.546277498,0.626427406,0.750848562
4.62,0.390756115,0.400821448,0.423641043,0.439933503,0.492717008,0.508114632,0.547633022,0.630450883,0.754277884
4.68,0.39666097,0.400153691,0.424225143,0.441211327,0.492616695,0.510432204,0.549917695,0.632014997,0.757637915
4.74,0.391718838,0.402755833,0.422899306,0.441734577,0.490107668,0.51046698,0.550515646,0.634470517,0.760903563
4.8,0.397771445,0.399297239,0.426888519,0.442789667,0.494704699,0.50780116,0.545942551,0.636308914,0.763225491
4.86,0.400673838,0.401504833,0.427135905,0.444362626,0.496750581,0.512547042,0.555360158,0.639570066,0.765222193
4.92,0.397736883,0.406834053,0.426268439,0.445263856,0.498471301,0.5140685,0.55689666,0.642015324,0.76821115
4.98,0.401451749,0.405547543,0.429327261,0.445985692,0.499227393,0.514729758,0.558657559,0.643099104,0.770185358
5.04,0.40250551,0.407849201,0.429212887,0.446498726,0.499521009,0.514877636,0.560210278,0.646131961,0.775162725
5.1,0.401599466,0.409214739,0.432464666,0.447556873,0.502117948,0.516914913,0.560187465,0.64844997,0.778508169
5.16,0.406206224,0.406000941,0.433044791,0.447674057,0.503712236,0.518393042,0.56303769,0.651339817,0.780635069
5.22,0.403903649,0.408070237,0.428276228,0.44806875,0.504377933,0.518656082,0.564087447,0.653376017,0.782103003
5.28,0.403611009,0.408969621,0.433504997,0.447976948,0.505039085,0.519520621,0.565449804,0.653831453,0.784254307
5.34,0.408203632,0.407759519,0.434598511,0.449986725,0.50649384,0.520243115,0.568263875,0.658434327,0.787499764
5.4,0.407299772,0.412770107,0.436960019,0.451677164,0.507525122,0.520689407,0.568812447,0.659928391,0.790654801
5.46,0.408362672,0.413161069,0.438452921,0.451702345,0.507355896,0.522090365,0.57088572,0.662848945,0.794870878
5.52,0.408108786,0.408130636,0.433703537,0.450594784,0.509053251,0.521893136,0.572510192,0.665539075,0.798017664
5.58,0.407741906,0.414077774,0.437804365,0.451663004,0.510384761,0.523696889,0.574696938,0.667780894,0.802228609
5.64,0.410525234,0.410434509,0.437689657,0.45414745,0.511343017,0.525063975,0.576404533,0.670381517,0.804617037
5.7,0.410622737,0.413513357,0.439062025,0.454552571,0.511835575,0.526870541,0.5778681,0.672809458,0.805619457
5.76,0.411810697,0.417452326,0.440769873,0.454340478,0.509913946,0.527364571,0.576963393,0.674849004,0.807032174
5.82,0.41444843,0.416352913,0.440888919,0.455801938,0.512710015,0.525758373,0.579902071,0.677930105,0.809495733
