time,S_mixed_0Hz,S_mixed_1Hz_Pi,S_mixed_2Hz_Pi,S_mixed_4Hz_Pi,S_mixed_8Hz_Pi,S_mixed_12Hz_Pi,S_mixed_16Hz_Pi,S_mixed_20Hz_Pi,S_mixed_30Hz_Pi,S_mixed_1Hz_0,S_mixed_2Hz_0,S_mixed_4Hz_0,S_mixed_8Hz_0,S_mixed_12Hz_0,S_mixed_16Hz_0,S_mixed_20Hz_0,S_mixed_30Hz_0
1.44,0.252061037,0.403779608,0.47862191,0.483290789,0.43733147,0.413592309,0.364756152,0.31944869,0.27463211,0.286171703,0.436114426,0.304812933,0.397333851,0.46890238,0.279387874,0.268603305,0.26551057
1.5,0.263343267,0.41263974,0.489052252,0.494604728,0.448442492,0.423318384,0.379886658,0.333398155,0.281577244,0.306995731,0.441179389,0.320417084,0.411971883,0.488853717,0.284010279,0.278859383,0.27409016
1.56,0.269914105,0.424054998,0.49742507,0.50417867,0.457847793,0.433857797,0.392583186,0.3406945,0.289392873,0.320842961,0.446263521,0.328484739,0.41167384,0.499529039,0.310428332,0.287637379,0.280406058
1.62,0.273589405,0.436077422,0.50926452,0.515663456,0.465751077,0.44228918,0.399680562,0.349396838,0.293045309,0.339158401,0.44534181,0.331127508,0.427324775,0.511276968,0.318420209,0.292384765,0.288985435
1.68,0.28088022,0.446767214,0.515147767,0.527189899,0.474785934,0.449475971,0.405224668,0.356499077,0.29772035,0.34813465,0.446193013,0.334953916,0.430326454,0.522966727,0.324837496,0.306618637,0.295375219
1.74,0.281331901,0.44879338,0.522245404,0.539811492,0.484832515,0.461804067,0.40682067,0.35923602,0.307429269,0.354518984,0.45599041,0.34402135,0.444522352,0.534526814,0.336041803,0.307758977,0.297124536
1.8,0.285432794,0.464659989,0.530860123,0.551090774,0.492519753,0.471339283,0.423128957,0.372966066,0.31213809,0.359928217,0.471256709,0.364763015,0.438437545,0.544754446,0.332083324,0.314990566,0.303024868
1.86,0.294462807,0.480252176,0.541360419,0.559486986,0.497813939,0.47965768,0.430548073,0.378613896,0.317341373,0.364600287,0.5007675,0.376325169,0.446758202,0.550765843,0.342008552,0.31932266,0.301121897
1.92,0.297633787,0.488618303,0.550659283,0.568718446,0.50481663,0.490734925,0.433628037,0.385277526,0.324106041,0.36829516,0.506743421,0.379800644,0.448957426,0.559234731,0.35012698,0.323587184,0.309330449
1.98,0.301655957,0.499038981,0.557441774,0.574521878,0.512716872,0.506325815,0.444609601,0.39416286,0.321962569,0.373246168,0.511856597,0.393360577,0.464287241,0.570191379,0.37060669,0.336343484,0.320900697
