phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.549778714,-24.639056,-17.65758179,-0.441648237,-4.343187,-9.261487,1.099557429,-2.97226,-3.034053
-0.546637122,-25.133945,-17.79801917,-0.437086644,-4.485721,-9.282473,1.12469017,-3.244822,-2.870669
-0.543495529,-25.539457,-17.93863251,-0.432525052,-4.707876,-9.303266,1.149822911,-3.074254,-2.705473
-0.540353936,-25.837573,-18.07940952,-0.427966601,-5.065423,-9.323866,1.174955652,-3.205325,-2.538568
-0.537212344,-26.075906,-18.22033792,-0.423405008,-5.349255,-9.344271,1.200088394,-3.884547,-2.370061
-0.534070751,-26.257101,-18.36140535,-0.418843416,-5.60192,-9.364482,1.225221135,-4.124277,-2.200057
-0.530929158,-26.683205,-18.50259946,-0.414281823,-5.804652,-9.384498,1.250353876,-4.49474,-2.028663
-0.527787566,-26.801728,-18.64390785,-0.409720231,-6.038495,-9.404319,1.275486617,-4.690031,-1.855989
-0.524645973,-26.935416,-18.7853181,-0.40516178,-6.389292,-9.423944,1.300619359,-4.840379,-1.682142
-0.52150438,-27.099253,-18.92681777,-0.400600187,-6.768463,-9.443374,1.3257521,-4.101807,-1.507234
-0.518362788,-27.305241,-19.06839438,-0.396038595,-7.175369,-9.462606,1.350884841,-4.092,-1.331374
-0.515221195,-27.589179,-19.21003543,-0.391477002,-7.532088,-9.481642,1.376017582,-4.093806,-1.154673
-0.512079603,-28.012018,-19.35172841,-0.38691541,-7.798323,-9.50048,1.401150324,-4.845793,-0.977242
-0.50893801,-28.212554,-19.49346076,-0.382356959,-7.990475,-9.519121,1.426283065,-4.823396,-0.799195
-0.505796417,-28.732143,-19.63521994,-0.377795366,-8.270191,-9.537564,1.451415806,-4.504653,-0.620643
-0.502654825,-28.985608,-19.77699334,-0.373233774,-8.643954,-9.555808,1.476548547,-4.086133,-0.441699
-0.499513232,-29.431282,-19.91876837,-0.368672181,-8.892455,-9.573853,1.501681288,-3.843265,-0.262477
-0.496371639,-29.84119,-20.06053242,-0.364110589,-9.002197,-9.5917,1.52681403,-3.321193,-0.083088
-0.493230047,-30.136938,-20.20227284,-0.359552138,-9.019227,-9.609346,1.551946771,-2.72208,0.096353
-0.490088454,-30.244589,-20.34397698,-0.354990545,-8.904606,-9.626793,1.577079512,-2.146386,0.275733
-0.486946861,-30.344999,-20.48563217,-0.350428953,-8.689758,-9.644039,1.602212253,-1.47475,0.454939
-0.483805269,-30.36638,-20.62722575,-0.34586736,-10.061416,-9.661085,1.627344995,-0.767117,0.633857
-0.480663676,-30.303208,-20.76874501,-0.341305767,-10.087963,-9.67793,1.652477736,-0.153981,0.812376
-0.477522083,-30.232286,-20.91017725,-0.336747317,-10.161727,-9.694573,1.677610477,0.517501,0.990381
-0.474380491,-30.158413,-21.05150977,-0.332185724,-10.404481,-9.711015,1.702743218,1.048558,1.167761
