phase,theta_t,deltaFlux_5cm,theta_t_fit
7.853981634,-1.903295,10.898786,-0.607118872
7.908147025,-1.264147,14.500133,-0.217257151
7.962312415,-0.954946,4.618996,0.17322154
8.016477806,-0.014186,9.046506,0.563208313
8.070643196,0.892392,15.649906,0.951595678
8.124808587,1.489104,14.923184,1.337280683
8.178973977,1.701115,28.606124,1.719168053
8.233139368,2.071306,16.930605,2.096173299
8.287304759,2.495777,12.872344,2.467225793
8.341470149,2.543204,12.244245,2.831271813
8.39563554,2.972572,3.130013,3.187277536
8.44980093,3.387797,15.831428,3.534231969
8.503966321,3.699976,5.087392,3.871149825
8.558131712,4.315677,-2.169056,4.197074318
8.612297102,3.917254,12.19019,4.511079881
8.666462493,5.433498,20.258986,4.812274797
8.720627883,5.995964,26.126801,5.099803726
8.774793274,6.137985,22.025922,5.372850138
8.828958664,6.135955,21.833355,5.630638631
8.883124055,6.214296,6.422446,5.872437132
8.937289446,6.615313,4.28844,6.097558978
8.991454836,6.469222,1.760979,6.305364864
9.045620227,6.819008,9.27359,6.495264658
9.099785617,7.438205,14.377978,6.666719079
9.153951008,7.691917,10.784651,6.819241228
9.208116398,7.908315,18.631304,6.95239797
9.262281789,7.960221,6.634452,7.065811164
9.31644718,8.064255,4.188196,7.159158736
9.37061257,8.089953,7.711929,7.232175598
9.424777961,8.504417,0.111872,7.284654394
9.478943351,8.962297,3.235378,7.316446093
9.533108742,8.972497,1.184686,7.327460414
9.587274133,9.208406,-6.278993,7.317666077
9.641439523,9.30055,-4.016534,7.287090897
9.695604914,9.236165,-7.493293,7.235821702
9.749770304,6.954801,-10.881637,7.164004087
9.803935695,6.937351,-10.045269,7.071842
9.858101085,6.62057,-7.195613,6.959597166
9.912266476,9.041002,-5.468646,6.82758834
9.966431867,8.975272,-9.753286,6.676190401
10.02059726,8.314146,-17.571815,6.505833294
10.07476265,6.298642,-6.698253,6.317000802
