time,theta_t
0.308,2.503414
0.309,2.4587
0.31,2.407508
0.311,2.35583
0.312,2.23693
0.313,2.137835
0.314,1.968365
0.315,1.985345
0.316,1.765351
0.317,1.746494
0.318,1.766896
0.319,1.727243
0.32,1.92345
0.321,1.894158
0.322,1.721532
0.323,1.412901
0.324,1.070694
0.325,0.716835
0.326,0.476619
0.327,0.376614
0.328,0.155
0.329,0.266983
0.33,0.297301
0.331,0.535074
0.332,1.024845
0.333,1.610895
0.334,2.103741
0.335,2.43886
0.336,2.568303
0.337,2.549687
0.338,2.430394
0.339,2.278786
0.34,2.259099
0.341,2.075607
0.342,1.824457
0.343,1.560661
0.344,1.400577
0.345,1.312044
0.346,1.288424
0.347,1.461929
0.348,1.712653
0.349,1.880855
0.35,1.943055
0.351,2.010664
0.352,2.080092
0.353,2.102307
0.354,2.159372
0.355,2.060878
0.356,1.946476
0.357,1.759838
0.358,1.379149
0.359,1.177923
0.36,0.972856
0.361,0.552673
0.362,0.090163
0.363,-0.423492
0.364,-0.795727
0.365,-1.098527
0.366,-1.329486
0.367,-1.525399
0.368,-1.780845
0.369,-2.084348
0.37,-2.342663
0.371,-2.491957
0.372,-2.629041
0.373,-2.651133
0.374,-2.507172
0.375,-2.310489
0.376,-2.080875
0.377,-1.812752
0.378,-1.655077
0.379,-1.38244
0.38,-1.126333
0.381,-0.790153
0.382,-0.246387
0.383,0.042005
0.384,0.276104
0.385,0.531173
0.386,0.83076
0.387,1.056437
0.388,1.424913
0.389,1.80239
0.39,2.18077
0.391,2.545065
0.392,2.957991
0.393,3.313078
0.394,3.571062
0.395,3.629543
0.396,3.342837
0.397,2.923546
0.398,2.452355
0.399,1.995295
0.4,1.683805
0.401,1.527078
0.402,1.433221
0.403,1.429304
0.404,1.522598
0.405,1.814339
0.406,2.171072
0.407,2.525794
0.408,2.783752
0.409,2.790607
0.41,2.714081
0.411,2.415369
0.412,2.093291
0.413,1.715132
0.414,1.173426
0.415,0.784194
0.416,0.437197
0.417,0.142093
0.418,-0.076101
0.419,-0.167878
0.42,-0.155056
0.421,-0.034992
0.422,0.09344
0.423,0.304806
0.424,0.430126
0.425,0.576181
0.426,0.648651
0.427,0.790077
0.428,0.985303
0.429,1.290709
0.43,1.56446
0.431,1.808193
0.432,2.023288
0.433,2.23386
0.434,2.405486
0.435,2.589847
0.436,2.70686
0.437,2.735169
0.438,2.717854
0.439,2.523233
0.44,2.520593
0.441,2.528767
0.442,2.465367
0.443,2.384823
0.444,2.240146
0.445,2.127212
0.446,2.183576
0.447,2.21947
0.448,2.256159
0.449,2.228255
0.45,2.307764
0.451,2.227901
0.452,2.04098
0.453,1.952917
0.454,1.803126
0.455,1.660807
0.456,1.468263
0.457,1.257842
0.458,1.109476
0.459,1.019789
0.46,1.05268
0.461,1.202091
0.462,1.434955
0.463,1.716054
0.464,1.859039
0.465,2.077243
0.466,2.200043
0.467,2.252265
0.468,2.257737
0.469,2.199116
0.47,1.913217
0.471,1.559927
0.472,1.110583
0.473,0.716023
0.474,0.508676
0.475,0.433633
0.476,0.475919
0.477,0.60589
0.478,0.848383
0.479,1.113637
0.48,1.444631
0.481,1.77926
0.482,2.091838
0.483,2.298156
0.484,2.383779
0.485,2.38965
0.486,2.378386
0.487,2.376575
0.488,2.125116
0.489,1.931891
0.49,1.706144
0.491,1.576017
0.492,1.504742
0.493,1.484221
0.494,1.407022
0.495,1.239195
0.496,1.092019
0.497,0.931882
0.498,0.794213
0.499,0.636082
0.5,0.747817
0.501,0.979427
0.502,1.261031
0.503,1.616724
0.504,1.909259
0.505,2.154773
0.506,2.447228
0.507,2.47862
0.508,2.440188
0.509,2.245445
0.51,1.97065
0.511,1.589773
0.512,1.238994
0.513,0.968718
0.514,0.767667
0.515,0.666848
0.516,0.571862
0.517,0.456862
0.518,0.510516
0.519,0.613499
0.52,0.763474
0.521,0.895477
0.522,0.899871
0.523,0.740993
0.524,0.562556
0.525,0.395195
0.526,0.306217
0.527,0.34051
0.528,0.382494
0.529,0.469414
0.53,0.495747
0.531,0.530816
0.532,0.593927
0.533,0.700683
0.534,0.834541
0.535,0.964303
0.536,1.036775
0.537,1.153281
0.538,1.275274
0.539,1.323065
0.54,1.337463
0.541,1.348721
0.542,1.336608
0.543,1.291284
0.544,1.162515
0.545,0.973287
0.546,0.731621
0.547,0.509214
0.548,0.320775
0.549,-0.059634
0.55,-0.341809
0.551,-0.512709
0.552,-0.4489
0.553,-0.195007
0.554,0.204711
0.555,0.645057
0.556,1.221151
0.557,1.785537
0.558,2.337383
0.559,2.765433
0.56,3.021323
0.561,3.074289
0.562,2.815562
0.563,2.338347
0.564,1.747882
0.565,1.139617
0.566,0.386732
0.567,-0.036857
0.568,-0.654372
0.569,-1.124645
0.57,-1.461539
0.571,-1.667103
0.572,-1.726369
0.573,-1.4945
0.574,-1.219324
0.575,-0.966943
0.576,-0.734335
0.577,-0.491517
0.578,-0.310174
0.579,-0.140363
0.58,-0.003028
0.581,0.035393
0.582,0.047064
0.583,-0.121758
0.584,-0.651761
0.585,-1.031427
0.586,-1.455924
0.587,-1.813457
0.588,-2.027013
0.589,-2.050854
0.59,-1.942568
0.591,-1.71099
0.592,-1.417333
0.593,-1.222374
0.594,-1.06108
0.595,-0.747561
0.596,-0.515645
0.597,-0.262293
0.598,-0.187983
0.599,-0.015422
0.6,0.084655
0.601,0.205533
0.602,0.289692
0.603,0.582353
0.604,0.723251
0.605,0.777758
0.606,0.784099
0.607,0.682106
0.608,0.407713
0.609,0.061249
0.61,-0.354154
0.611,-0.72746
0.612,-1.079166
0.613,-1.374056
0.614,-1.565366
0.615,-1.638897
0.616,-1.534913
0.617,-1.432247
0.618,-0.992951
0.619,-0.46715
0.62,0.012812
0.621,0.374316
0.622,0.693
0.623,0.952831
0.624,0.997771
0.625,1.184738
0.626,1.107756
0.627,0.816539
0.628,0.48822
0.629,0.111708
0.63,-0.125347
0.631,-0.236532
0.632,-0.272907
0.633,-0.20147
0.634,-0.136538
0.635,-0.23983
0.636,-0.163791
0.637,-0.079608
0.638,0.043025
0.639,0.020148
0.64,0.207685
0.641,0.288601
0.642,0.426987
0.643,0.59703
0.644,0.803191
0.645,0.9306
0.646,1.048932
0.647,1.015046
0.648,0.919508
0.649,0.675458
0.65,0.600035
0.651,0.179582
0.652,-0.326887
0.653,-0.91096
0.654,-1.554041
0.655,-2.077057
0.656,-2.383703
0.657,-2.466152
0.658,-2.369048
0.659,-2.167469
0.66,-1.921293
0.661,-1.69606
0.662,-1.54232
0.663,-1.456514
0.664,-1.349505
0.665,-1.30593
0.666,-1.277474
0.667,-1.246694
0.668,-1.187562
0.669,-1.099005
0.67,-0.992744
0.671,-0.893427
0.672,-0.733758
0.673,-0.517341
0.674,-0.452711
0.675,-0.193028
0.676,0.065228
0.677,0.166752
0.678,0.202988
0.679,0.231505
0.68,0.313261
0.681,0.440091
0.682,0.485946
0.683,0.42267
0.684,0.388342
0.685,0.328053
0.686,0.227636
0.687,0.153615
0.688,-0.065287
0.689,-0.486626
0.69,-0.804486
0.691,-1.036893
0.692,-1.201111
0.693,-1.32995
0.694,-1.487818
0.695,-1.585939
0.696,-1.399115
0.697,-1.331278
0.698,-1.172958
0.699,-0.959982
0.7,-0.758962
0.701,-0.63306
0.702,-0.527002
0.703,-0.330911
0.704,-0.076929
0.705,0.24708
0.706,0.564203
0.707,0.809249
0.708,0.964642
0.709,1.070715
0.71,1.115512
0.711,1.061622
0.712,0.986784
0.713,0.900691
0.714,0.771573
0.715,0.645729
0.716,0.547656
0.717,0.432088
0.718,0.32917
0.719,0.297247
0.72,0.440785
0.721,0.741915
0.722,1.071466
0.723,1.329162
0.724,1.462681
0.725,1.475624
0.726,1.42642
0.727,1.378143
0.728,1.033313
0.729,0.993979
0.73,0.847043
0.731,0.646812
0.732,0.505121
0.733,0.456963
0.734,0.686298
0.735,0.707144
0.736,0.758929
0.737,0.740373
0.738,0.754944
0.739,0.697479
0.74,0.586463
0.741,0.542119
0.742,0.518767
0.743,0.439064
0.744,0.299062
0.745,0.245241
0.746,0.248686
0.747,0.297219
0.748,0.354248
0.749,0.224521
0.75,-0.019706
