time,theta_t_noPulse,theta_t_fit_noPulse,theta_t_pi_phi,theta_t_fit_pi_phi,theta_t_0_phi
0.82,2.472866,2.607753927,-2.03641,-5.397373362,12.672935
0.83,2.22392,2.239265463,-0.707499,-3.080053618,12.895103
0.84,1.996813,1.864417891,8.982321,-0.714145271,12.94858
0.85,1.782385,1.484275711,11.74121,1.663028894,13.210847
0.86,1.370699,1.099918457,14.120304,4.013968369,13.504369
0.87,1.063359,0.712437635,15.494372,6.301586505,13.923048
0.88,0.794848,0.322933619,17.231535,8.489795564,13.694551
0.89,0.293001,-0.06748747,19.40277,10.54407601,10.177619
0.9,-0.102824,-0.457716907,20.713904,12.43202106,10.034698
0.91,-0.476725,-0.84664651,21.90435,14.12384793,9.970036
0.92,-0.447517,-1.233171792,22.391439,15.59286761,10.222728
0.93,-0.549565,-1.616195089,22.781522,16.81590598,14.144433
0.94,-0.720439,-1.994628686,22.574662,17.77366929,14.329389
0.95,-0.827148,-2.367397899,21.486174,18.45104859,14.507439
0.96,-1.485509,-2.733444132,19.0233,18.83735807,13.883441
0.97,-1.72619,-3.09172788,16.428497,18.92650359,13.872379
0.98,-2.540467,-3.441231682,14.626098,18.71707886,14.34749
0.99,-3.337723,-3.78096301,13.490927,18.2123876,14.468649
1,-3.905302,-4.10995709,12.858003,17.42039145,14.604137
1.01,-4.110036,-4.427279638,12.820609,16.35358434,14.523626
1.02,-4.310202,-4.732029515,7.479967,15.02879542,14.263248
1.03,-4.470439,-5.023341288,6.7132,13.46692355,14.012906
1.04,-4.675825,-5.300387683,5.715138,11.69260764,13.270259
1.05,-4.662954,-5.56238194,4.63696,9.73383798,12.184043
1.06,-5.198891,-5.808580041,6.12229,7.621514627,7.603558
1.07,-5.623133,-6.03828283,2.254029,5.388960007,8.125734
1.08,-6.612912,-6.250837991,-0.502187,3.071393216,6.349126
1.09,-6.639716,-6.445641907,-1.542543,0.705374442,3.885986
1.1,-6.690967,-6.62214137,-4.171251,-1.671771787,3.865158
1.11,-6.984724,-6.779835154,-1.911442,-4.022545405,2.995469
1.12,-7.236944,-6.918275437,-2.150293,-6.30986238,2.330516
1.13,-7.169151,-7.037069073,-2.982462,-8.497639724,2.002194
1.14,-7.219454,-7.135878711,-3.702683,-10.55136471,1.07655
1.15,-6.86241,-7.214423748,-4.976392,-12.43863932,1.501407
1.16,-7.451801,-7.272481132,-6.928367,-14.12969134,0.845033
1.17,-7.923065,-7.309885989,-18.459827,-15.597844,0.089574
1.18,-8.095299,-7.326532097,-21.418113,-16.81993684,-0.588352
1.19,-8.440665,-7.322372184,-23.90443,-17.77669103,-1.304106
1.2,-6.799351,-7.297418063,-14.924781,-18.45301355,-1.882717
1.21,-7.256269,-7.2517406,-26.933815,-18.83823524,-5.004065
1.22,-9.194568,-7.185469509,-27.647764,-18.92627914,-5.393926
1.23,-9.130728,-7.09879299,-28.465385,-18.71575633,-5.656036
1.24,-7.355781,-6.991957187,-28.677072,-18.20998785,-6.067168
1.25,-7.256308,-6.865265495,-28.310391,-17.41695234,-6.589347
1.26,-6.982604,-6.719077695,-25.872218,-16.34916012,-6.697974
1.27,-8.181268,-6.553808934,-19.910226,-15.02345588,-4.596858
1.28,-6.457378,-6.369928546,-13.092611,-13.46075293,-4.653652
1.29,-6.184424,-6.167958717,-10.165122,-11.68570329,-4.612808
1.3,-6.054854,-5.948473004,-6.674822,-9.726308803,-4.4544
1.31,-6.09865,-5.712094709,-4.379766,-7.613479403,-4.441503
1.32,-5.945374,-5.459495101,-1.759898,-5.380545493,-4.420292
1.33,-5.819781,-5.191391518,1.683424,-3.062732154,-3.942952
1.34,-5.465189,-4.908545325,3.43692,-0.696603462,-2.753478
1.35,-5.054632,-4.611759755,4.74904,1.680514321,-3.154231
1.36,-4.33809,-4.301877624,13.816596,4.031121578,-3.400244
1.37,-3.375781,-3.979778942,14.871134,6.318136899,-2.927447
1.38,-2.981415,-3.64637841,17.317032,8.505482057,-2.85842
1.39,-3.373082,-3.302622825,19.171959,10.55865114,-2.729942
1.4,-2.44023,-2.949488391,20.968759,12.44525491,-3.321675
1.41,-2.255478,-2.587977946,22.565892,14.13553172,-4.076841
1.42,-2.077246,-2.219118113,23.545155,15.60281704,-5.103468
1.43,-1.71945,-1.843956387,24.346645,16.82396408,-5.810119
1.44,-1.973562,-1.463558159,24.191038,17.77970895,-9.080018
1.45,-1.486758,-1.079003693,24.273769,18.45497454,-7.074907
1.46,-0.93074,-0.691385051,23.936203,18.83910836,-7.656519
1.47,-0.657204,-0.301803002,22.73966,18.92605062,-7.738523
1.48,-0.513534,0.088636113,22.443221,18.71442977,-7.646517
1.49,-0.219115,0.478823518,22.280356,18.20758419,-7.813806
1.5,0.020452,0.867651151,22.149606,17.41350949,-7.988952
1.51,0.712564,1.254014812,22.369448,16.34473239,-7.863817
1.52,1.103834,1.636817298,22.426121,15.01811312,-7.505454
1.53,1.525917,2.014971521,22.483963,13.45457942,-9.0725
1.54,2.092864,2.38740359,22.046456,11.67879642,-6.824673
1.55,2.683196,2.753055867,18.89724,9.718777535,-6.69599
1.56,3.165342,3.110889964,13.974673,7.605442542,-8.271511
1.57,3.582894,3.459889699,8.019898,5.372129823,-6.504502
1.58,3.846005,3.799063975,3.112409,3.054070433,-8.000356
1.59,4.025474,4.127449599,-0.657582,0.687832332,-7.266609
1.6,4.510937,4.444114016,-2.412572,-1.689256494,-6.495567
1.61,4.779837,4.748157955,-3.594912,-4.039696883,-5.773721
1.62,4.743609,5.038717988,-4.89125,-6.326410061,-5.258776
1.63,5.247414,5.314968976,-6.291905,-8.513322563,-3.940477
1.64,4.252582,5.576126417,-8.236521,-10.56593531,-3.845474
1.65,4.290846,5.821448672,-0.832928,-12.45186782,-3.692163
1.66,4.479903,6.050239068,-12.306992,-14.14136906,-4.137191
1.67,6.587376,6.261847885,-15.277812,-15.60778672,-3.411993
1.68,7.017803,6.45567419,-17.961153,-16.82798771,-2.844248
1.69,7.175944,6.631167552,-20.44201,-17.78272305,-2.627477
1.7,7.163164,6.787829602,-22.005303,-18.45693156,-2.241171
1.71,7.411648,6.925215448,-23.658504,-18.83997744,-1.764475
1.72,7.688571,7.042934939,-24.532993,-18.92581803,-1.98384
1.73,7.619358,7.140653774,-24.895886,-18.7130992,-1.749955
1.74,7.246977,7.218094448,-25.348981,-18.20517662,-1.454631
1.75,7.080773,7.275037045,-25.922577,-17.41006289,-0.367458
1.76,7.181279,7.311319856,-22.549058,-16.34030115,-0.894179
1.77,7.116622,7.326839847,-16.483164,-15.01276713,-0.129165
1.78,7.076439,7.321552942,-7.585744,-13.44840302,-0.465762
1.79,6.865471,7.295474156,-2.321004,-11.67188704,-0.281332
1.8,6.895699,7.248677548,1.941496,-9.711244179,1.001638
1.81,6.625805,7.181296011,4.866087,-7.597404047,0.952209
1.82,6.581433,7.093520898,1.485166,-5.363712998,-0.083332
1.83,6.405982,6.985601472,3.828979,-3.045408056,-0.082083
1.84,6.569189,6.857844207,4.839537,-0.679061054,0.005266
1.85,6.876185,6.710611909,6.151686,1.697998304,1.05297
1.86,6.769751,6.544322691,14.698052,4.048271321,-0.07477
1.87,6.879815,6.359448785,17.053077,6.334681862,1.067596
1.88,6.782693,6.156515198,19.301095,8.521161238,-0.846026
1.89,6.242971,5.936098226,21.692909,10.5732172,0.240545
1.9,5.809285,5.698823813,24.152817,12.45847806,-0.194311
1.91,5.472529,5.445365774,25.708713,14.14720336,-0.152342
1.92,4.949772,5.176443886,27.495379,15.61275305,-0.274503
1.93,4.532846,4.892821836,28.619031,16.83200772,-1.117454
1.94,3.97258,4.59530506,28.991034,17.78573333,-1.165909
1.95,3.524634,4.284738453,28.731393,18.45888462,-1.160366
1.96,3.013675,3.962003965,28.004582,18.84084246,-1.431032
1.97,3.249918,3.628018106,26.541944,18.92558138,0.549804
1.98,3.014594,3.283729334,23.436472,18.7117646,0.831047
1.99,2.568866,2.930115367,19.110286,18.20276513,1.135286
2,2.194501,2.568180404,14.539615,17.40661256,1.604926
,1.037638,2.198952275,11.347406,16.33586639,2.017321
