time,S_mixed_NoPulsation,S_mixed_phi_0,S_mixed_phi_pi
7.56,0.425917982,0.837745112,0.882413681
7.62,0.427446301,0.837594639,0.882667784
7.68,0.430224196,0.836310536,0.885086282
7.74,0.430442201,0.838279603,0.886461046
7.8,0.429441014,0.845276582,0.887631966
7.86,0.430716009,0.848501181,0.889654531
7.92,0.424925525,0.850743242,0.890295345
7.98,0.428043922,0.850914998,0.891682358
8.04,0.427229323,0.850261386,0.892055969
8.1,0.426873574,0.849492804,0.894164497
8.16,0.432185917,0.849844118,0.895645863
8.22,0.429284174,0.850093628,0.897615937
8.28,0.430936908,0.852326683,0.89817162
8.34,0.434389444,0.857936614,0.899202763
8.4,0.433039644,0.861824955,0.899719125
8.46,0.431603272,0.862353593,0.900974948
8.52,0.433675132,0.8614821,0.901252545
8.58,0.426922274,0.859786564,0.903756186
8.64,0.431992607,0.858221303,0.904240789
8.7,0.432800831,0.858501298,0.904576622
8.76,0.434709968,0.862079158,0.905921832
8.82,0.437743867,0.866575266,0.907030868
8.88,0.437867097,0.871584732,0.908924429
8.94,0.43651061,0.872469986,0.909432829
9,0.438731668,0.872615967,0.90943741
9.06,0.4356314,0.869621831,0.91035769
9.12,0.435878007,0.867384137,0.911282637
9.18,0.438969889,0.867567612,0.913798157
9.24,0.435094515,0.866887439,0.914808303
9.3,0.435780727,0.87292928,0.916263721
9.36,0.436305128,0.879407577,0.917583655
9.42,0.433975661,0.880509639,0.918495621
9.48,0.438744409,0.880514331,0.917931289
9.54,0.440889955,0.879307793,0.918859754
9.6,0.439895442,0.877127225,0.92239185
9.66,0.441356376,0.875309724,0.922750638
9.72,0.441090404,0.87611678,0.924319186
9.78,0.436723705,0.877659255,0.925401471
9.84,0.441116645,0.8838266,0.925508019
9.9,0.441074279,0.885501022,0.927741855
9.96,0.440010527,0.886019081,0.928446407
10.02,0.44322278,0.884618649,0.928225708
10.08,0.442614571,0.88472026,0.929003604
10.14,0.44242916,0.883181895,0.929015128
10.2,0.444423707,0.883015655,0.931266996
10.26,0.443135565,0.88462861,0.931662283
10.32,0.443892629,0.887911833,0.932843382
10.38,0.44479956,0.892048591,0.933538112
10.44,0.443810806,0.893176019,0.934415828
10.5,0.442911008,0.892618827,0.934749799
10.56,0.442941572,0.892157266,0.93536729
10.62,0.441656055,0.889003629,0.936407196
10.68,0.446021916,0.889713938,0.937953212
10.74,0.44722275,0.889513479,0.938814331
10.8,0.44697662,0.8939133,0.939586596
10.86,0.447455871,0.897840597,0.940434609
10.92,0.447843391,0.89902813,0.94081104
10.98,0.44673711,0.899418915,0.941651655
11.04,0.448123364,0.898416035,0.941872351
11.1,0.443463235,0.896105169,0.942405
11.16,0.44689069,0.894700915,0.942181588
11.22,0.44938172,0.895550134,0.943660342
11.28,0.448296429,0.899276504,0.943829973
11.34,0.448849656,0.903837576,0.943570112
11.4,0.44860492,0.90454794,0.945072174
11.46,0.445373252,0.905030263,0.945872475
11.52,0.448530336,0.902985474,0.945219159
11.58,0.447758476,0.900941302,0.945607954
11.64,0.446052784,0.899751547,0.946292955
11.7,0.450558267,0.899810963,0.947444591
11.76,0.449955194,0.902164451,0.947095731
11.82,0.448391095,0.907660034,0.949338259
11.88,0.451921363,0.908309002,0.950088621
11.94,0.451773409,0.908878998,0.953116529
12,0.452289658,0.909426151,0.953673783
12.06,0.451976379,0.908890086,0.953649107
12.12,0.451969117,0.907306226,0.953333796
12.18,0.451432835,0.906533549,0.954121581
12.24,0.451897562,0.907166222,0.955084697
12.3,0.450204739,0.910525553,0.955035856
12.36,0.451981432,0.91445801,0.956137288
12.42,0.452743356,0.915634397,0.957023414
12.48,0.450335661,0.915898488,0.957049091
12.54,0.452390326,0.916367852,0.958962251
12.6,0.45270836,0.915015001,0.958709731
12.66,0.453395077,0.913242219,0.959886772
12.72,0.454466696,0.914009624,0.959611205
12.78,0.454000925,0.915230077,0.959361463
12.84,0.450800707,0.921028724,0.959253686
12.9,0.453953548,0.923638391,0.96025216
12.96,0.452839839,0.924384883,0.961193766
13.02,0.453311592,0.923234442,0.961012606
13.08,0.455732787,0.922848174,0.961201027
13.14,0.453656186,0.920902519,0.96184071
13.2,0.455083156,0.920657059,0.96291025
13.26,0.456226789,0.92257139,0.963089696
13.32,0.454022951,0.924113515,0.962894
13.38,0.453985801,0.928087156,0.962705593
13.44,0.455095899,0.928854615,0.963492492
13.5,0.451516517,0.929228818,0.96376932
13.56,0.455613461,0.927711401,0.964272772
13.62,0.454620681,0.926155121,0.964563621
13.68,0.457568753,0.926757285,0.964330739
13.74,0.458636664,0.928598774,0.964615734
13.8,0.45827885,0.93092785,0.96369858
13.86,0.457418883,0.933840601,0.964436331
13.92,0.458107926,0.934962163,0.96447684
13.98,0.453793609,0.935812907,0.965185634
14.04,0.457682234,0.935409188,0.965641578
14.1,0.459048711,0.933864203,0.965885665
14.16,0.45852493,0.932709502,0.966985539
14.22,0.459886643,0.933264138,0.967618527
14.28,0.460473129,0.93597003,0.967092557
14.34,0.45980938,0.9378072,0.967245257
14.4,0.461878025,0.940652182,0.967438027
14.46,0.462051783,0.941310238,0.968007812
14.52,0.46057465,0.940094438,0.96852741
14.58,0.460216779,0.938326766,0.969272076
14.64,0.453209924,0.93704727,0.968951161
14.7,0.458746603,0.937259608,0.969225236
14.76,0.461262832,0.93837649,0.968512973
14.82,0.46333235,0.941388768,0.969545578
14.88,0.46341927,0.943508164,0.969806926
14.94,0.463622267,0.943834372,0.970554049
