time,theta_t,theta_t_fit
0.172,-4.698739,-8.718120131
0.173,-4.716152,-8.859496539
0.174,-4.872829,-9.001836422
0.175,-5.116345,-9.145128624
0.176,-5.381243,-9.289361883
0.177,-5.551484,-9.43452484
0.178,-5.776221,-9.580606035
0.179,-6.133402,-9.727593909
0.18,-6.496341,-9.875476807
0.181,-6.97446,-10.02424298
0.182,-7.439807,-10.17388057
0.183,-7.786623,-10.32437765
0.184,-7.816656,-10.47572218
0.185,-7.953254,-10.62790202
0.186,-8.154843,-10.78090497
0.187,-8.618676,-10.93471871
0.188,-9.029461,-11.08933085
0.189,-9.639949,-11.2447289
0.19,-10.193218,-11.40090028
0.191,-10.644257,-11.55783235
0.192,-10.989652,-11.71551235
0.193,-11.292561,-11.87392746
0.194,-13.030162,-12.03306477
0.195,-13.518289,-12.19291129
0.196,-13.901059,-12.35345395
0.197,-14.271457,-12.5146796
0.198,-14.64036,-12.67657502
0.199,-14.689155,-12.83912689
0.2,-14.406041,-13.00232185
0.201,-14.3298,-13.16614643
0.202,-14.301104,-13.33058711
0.203,-14.413435,-13.49563028
0.204,-14.819038,-13.66126229
0.205,-15.315712,-13.82746939
0.206,-15.847718,-13.99423776
0.207,-16.242523,-14.16155355
0.208,-16.508674,-14.32940279
0.209,-17.074271,-14.4977715
0.21,-17.673349,-14.6666456
0.211,-18.396548,-14.83601095
0.212,-18.992549,-15.00585337
0.213,-19.61246,-15.1761586
0.214,-20.212536,-15.34691233
0.215,-20.951863,-15.5181002
0.216,-21.480894,-15.68970777
0.217,-22.141531,-15.86172056
0.218,-22.715079,-16.03412406
0.219,-22.995056,-16.20690366
0.22,-23.442659,-16.38004474
0.221,-23.771006,-16.5535326
0.222,-24.313462,-16.72735252
0.223,-24.65383,-16.90148972
0.224,-24.861072,-17.07592936
0.225,-24.934409,-17.25065657
0.226,-24.912716,-17.42565644
0.227,-24.893427,-17.60091402
0.228,-25.109082,-17.7764143
0.229,-25.440927,-17.95214226
0.23,-25.686627,-18.12808281
0.231,-26.099817,-18.30422085
0.232,-26.433714,-18.48054123
0.233,-26.724216,-18.65702876
0.234,-26.917677,-18.83366825
0.235,-27.107579,-19.01044444
0.236,-27.280567,-19.18734207
0.237,-27.495125,-19.36434582
0.238,-27.77967,-19.54144038
0.239,-28.063938,-19.71861038
0.24,-28.367431,-19.89584045
0.241,-28.68467,-20.07311518
0.242,-28.790193,-20.25041915
0.243,-29.226,-20.42773692
0.244,-29.774148,-20.60505303
0.245,-30.434414,-20.78235198
0.246,-30.813977,-20.95961828
0.247,-31.589753,-21.13683643
0.248,-32.197911,-21.31399089
0.249,-32.410465,-21.49106613
0.25,-32.837211,-21.6680466
0.251,-33.104852,-21.84491673
0.252,-33.258154,-22.02166097
0.253,-33.200324,-22.19826374
0.254,-33.163754,-22.37470946
0.255,-32.976251,-22.55098254
0.256,-32.918351,-22.72706741
0.257,-32.898491,-22.90294848
0.258,-32.965193,-23.07861015
0.259,-33.373501,-23.25403685
0.26,-33.64105,-23.429213
0.261,-34.057289,-23.60412301
0.262,-34.553214,-23.77875132
0.263,-34.941697,-23.95308236
0.264,-35.230556,-24.12710057
0.265,-35.391793,-24.30079041
0.266,-35.462793,-24.47413634
0.267,-35.489672,-24.64712285
0.268,-35.564105,-24.81973441
0.269,-35.61583,-24.99195554
0.27,-35.603715,-25.16377077
0.271,-35.518474,-25.33516463
0.272,-35.279874,-25.50612168
0.273,-34.940456,-25.67662651
0.274,-34.525814,-25.84666371
0.275,-34.158862,-26.01621793
0.276,-33.897879,-26.1852738
0.277,-33.895623,-26.35381601
0.278,-33.862908,-26.52182926
0.279,-33.907586,-26.68929829
0.28,-33.975437,-26.85620787
0.281,-33.912417,-27.02254278
0.282,-33.875947,-27.18828787
0.283,-33.920802,-27.35342799
0.284,-34.02875,-27.51794804
0.285,-34.006455,-27.68183297
0.286,-33.832408,-27.84506775
0.287,-33.512441,-28.00763738
0.288,-33.075267,-28.16952694
0.289,-32.569384,-28.33072151
0.29,-32.12479,-28.49120624
0.291,-31.739508,-28.65096632
0.292,-31.37974,-28.80998698
0.293,-31.050925,-28.96825349
0.294,-30.78017,-29.1257512
0.295,-30.584053,-29.28246548
0.296,-30.426952,-29.43838177
0.297,-30.228063,-29.59348554
0.298,-30.069966,-29.74776233
0.299,-29.850226,-29.90119775
0.3,-29.781036,-30.05377744
0.301,-29.927488,-30.2054871
0.302,-30.08063,-30.35631252
0.303,-30.484088,-30.50623951
0.304,-30.19639,-30.65525397
0.305,-30.219684,-30.80334185
0.306,-30.225262,-30.95048916
0.307,-30.297985,-31.096682
0.308,-30.338776,-31.2419065
0.309,-30.500884,-31.3861489
0.31,-30.752349,-31.52939546
0.311,-30.949375,-31.67163256
0.312,-31.044364,-31.81284662
0.313,-31.134469,-31.95302415
0.314,-31.274882,-32.09215171
0.315,-31.592703,-32.23021596
0.316,-32.109747,-32.36720363
0.317,-32.469982,-32.50310152
0.318,-32.981672,-32.63789651
0.319,-33.25591,-32.77157558
0.32,-33.803629,-32.90412576
0.321,-33.907929,-33.03553419
0.322,-34.112278,-33.16578807
0.323,-34.41839,-33.29487469
0.324,-34.794405,-33.42278145
0.325,-35.138128,-33.5494958
0.326,-35.373879,-33.67500531
0.327,-35.43434,-33.79929761
0.328,-35.490681,-33.92236045
0.329,-35.685242,-34.04418164
0.33,-35.934921,-34.16474912
0.331,-36.176971,-34.28405089
0.332,-36.336393,-34.40207505
0.333,-36.345192,-34.51880981
0.334,-36.446685,-34.63424347
0.335,-36.52677,-34.74836442
0.336,-36.607767,-34.86116116
0.337,-34.138278,-34.97262229
0.338,-34.141258,-35.0827365
0.339,-33.989928,-35.19149258
0.34,-33.896715,-35.29887944
0.341,-33.763867,-35.40488609
0.342,-33.661783,-35.50950162
0.343,-33.499874,-35.61271526
0.344,-33.338076,-35.71451633
0.345,-36.250686,-35.81489425
0.346,-36.088289,-35.91383856
0.347,-35.880775,-36.01133891
0.348,-35.752033,-36.10738507
0.349,-35.640918,-36.20196688
0.35,-35.568995,-36.29507435
0.351,-35.539644,-36.38669756
0.352,-35.550058,-36.47682672
0.353,-35.518006,-36.56545215
0.354,-35.466084,-36.6525643
0.355,-35.408528,-36.73815371
0.356,-35.351319,-36.82221108
0.357,-35.284854,-36.90472717
0.358,-35.272776,-36.98569292
0.359,-35.307912,-37.06509935
0.36,-35.309624,-37.1429376
0.361,-35.348768,-37.21919897
0.362,-35.31637,-37.29387483
0.363,-35.292715,-37.36695672
0.364,-35.217493,-37.43843628
0.365,-35.179631,-37.50830527
0.366,-35.20863,-37.57655559
0.367,-35.24426,-37.64317926
0.368,-35.274134,-37.70816842
0.369,-35.378962,-37.77151536
0.37,-35.46594,-37.83321247
0.371,-35.599822,-37.8932523
0.372,-35.738885,-37.95162749
0.373,-35.9948,-38.00833085
0.374,-36.293409,-38.06335529
0.375,-36.55453,-38.11669388
0.376,-36.789255,-38.1683398
0.377,-37.080282,-38.21828637
0.378,-37.229834,-38.26652705
0.379,-37.299228,-38.31305542
0.38,-37.246728,-38.35786521
0.381,-37.120897,-38.40095028
0.382,-36.890261,-38.44230463
0.383,-36.562444,-38.48192238
0.384,-36.243881,-38.5197978
0.385,-35.883507,-38.5559253
0.386,-35.492959,-38.59029942
0.387,-35.046379,-38.62291485
0.388,-34.664121,-38.65376641
0.389,-34.307394,-38.68284906
0.39,-34.014615,-38.71015789
0.391,-31.758232,-38.73568816
0.392,-31.656267,-38.75943524
0.393,-31.600078,-38.78139466
0.394,-31.569763,-38.80156209
0.395,-31.550198,-38.81993332
0.396,-31.661276,-38.83650432
0.397,-31.738748,-38.85127118
0.398,-31.831215,-38.86423013
0.399,-31.906391,-38.87537755
0.4,-32.051626,-38.88470997
0.401,-32.204564,-38.89222405
0.402,-32.462994,-38.89791662
0.403,-32.657751,-38.90178463
0.404,-32.988811,-38.90382517
0.405,-33.247304,-38.90403551
0.406,-33.469396,-38.90241304
0.407,-33.471291,-38.89895529
0.408,-33.434867,-38.89365996
0.409,-33.463041,-38.88652488
0.41,-33.49395,-38.87754803
0.411,-33.339375,-38.86672754
0.412,-33.081928,-38.85406168
0.413,-32.594864,-38.83954888
0.414,-32.18314,-38.8231877
0.415,-31.864877,-38.80497687
0.416,-31.65429,-38.78491524
0.417,-31.530717,-38.76300183
0.418,-31.418762,-38.73923581
0.419,-31.346604,-38.71361648
0.42,-31.355841,-38.6861433
0.421,-31.445391,-38.65681587
0.422,-31.538492,-38.62563395
0.423,-31.614939,-38.59259745
0.424,-31.602189,-38.5577064
0.425,-31.516069,-38.52096103
0.426,-31.462831,-38.48236166
0.427,-31.439207,-38.4419088
0.428,-31.444724,-38.39960309
0.429,-31.456198,-38.35544533
0.43,-31.314141,-38.30943646
0.431,-31.049334,-38.26157757
0.432,-30.839443,-38.21186989
0.433,-30.492359,-38.16031482
0.434,-30.241561,-38.10691389
0.435,-30.068579,-38.05166878
0.436,-29.911724,-37.99458132
0.437,-29.761403,-37.9356535
0.438,-29.591417,-37.87488743
0.439,-29.484673,-37.81228539
0.44,-29.521046,-37.74784981
0.441,-29.706001,-37.68158324
0.442,-30.036116,-37.61348841
0.443,-30.392709,-37.54356818
0.444,-30.803307,-37.47182555
0.445,-31.079698,-37.39826368
0.446,-31.238091,-37.32288586
0.447,-31.278518,-37.24569556
0.448,-31.295496,-37.16669635
0.449,-31.274381,-37.08589197
0.45,-31.222413,-37.00328631
0.451,-30.932131,-36.91888339
0.452,-30.854853,-36.83268738
0.453,-30.736139,-36.7447026
0.454,-30.730919,-36.6549335
0.455,-30.69349,-36.56338469
0.456,-30.812037,-36.4700609
0.457,-30.937719,-36.37496703
0.458,-31.045322,-36.2781081
0.459,-31.096928,-36.17948929
0.46,-31.123166,-36.07911589
0.461,-31.234523,-35.97699338
0.462,-31.300591,-35.87312733
0.463,-34.137893,-35.76752348
0.464,-34.267839,-35.66018771
0.465,-34.392389,-35.55112602
0.466,-34.522702,-35.44034455
0.467,-34.694584,-35.32784961
0.468,-34.901532,-35.2136476
0.469,-35.136465,-35.0977451
0.47,-35.372901,-34.9801488
0.471,-35.583373,-34.86086554
0.472,-35.811388,-34.73990227
0.473,-36.125015,-34.6172661
0.474,-36.39323,-34.49296428
0.475,-36.648301,-34.36700417
0.476,-36.90023,-34.23939327
0.477,-36.961097,-34.11013922
0.478,-34.049861,-33.97924978
0.479,-34.330547,-33.84673286
0.48,-34.492726,-33.71259647
0.481,-34.637738,-33.57684879
0.482,-34.740294,-33.43949808
0.483,-34.673031,-33.30055278
0.484,-34.466859,-33.16002141
0.485,-34.147856,-33.01791265
0.486,-33.958151,-32.87423529
0.487,-33.749912,-32.72899826
0.488,-36.52045,-32.58221059
0.489,-36.389513,-32.43388145
0.49,-36.261484,-32.28402013
0.491,-36.178335,-32.13263606
0.492,-36.15486,-31.97973875
0.493,-36.05369,-31.82533788
0.494,-36.26738,-31.6694432
0.495,-36.608516,-31.51206462
0.496,-36.909448,-31.35321214
0.497,-37.146654,-31.1928959
0.498,-37.310338,-31.03112615
0.499,-37.270983,-30.86791323
0.5,-37.182509,-30.70326764
0.501,-37.102311,-30.53719995
0.502,-37.068238,-30.36972088
0.503,-36.877757,-30.20084123
0.504,-36.533373,-30.03057193
0.505,-35.954845,-29.85892401
0.506,-35.275289,-29.68590863
0.507,-34.446069,-29.51153703
0.508,-33.724625,-29.33582058
0.509,-33.052239,-29.15877073
0.51,-32.608525,-28.98039908
0.511,-32.311686,-28.80071728
0.512,-32.151855,-28.61973712
0.513,-32.2841,-28.43747048
0.514,-32.645285,-28.25392935
0.515,-33.0871,-28.06912581
0.516,-33.54751,-27.88307204
0.517,-34.007747,-27.69578033
0.518,-34.205238,-27.50726305
0.519,-34.210727,-27.31753268
0.52,-33.930396,-27.12660179
0.521,-33.381628,-26.93448305
0.522,-32.57645,-26.74118921
0.523,-31.673267,-26.54673311
0.524,-30.562381,-26.35112771
0.525,-29.490759,-26.15438603
0.526,-28.502319,-25.95652119
0.527,-27.579601,-25.75754639
0.528,-26.715441,-25.55747493
0.529,-25.901938,-25.35632019
0.53,-25.15314,-25.15409562
0.531,-24.499159,-24.95081478
0.532,-23.869106,-24.74649128
0.533,-23.434834,-24.54113884
0.534,-22.905238,-24.33477124
0.535,-22.398825,-24.12740234
0.536,-21.903701,-23.9190461
0.537,-21.409693,-23.70971652
0.538,-20.898751,-23.4994277
0.539,-20.532497,-23.28819381
0.54,-20.175912,-23.07602908
0.541,-19.768982,-22.86294782
0.542,-19.545777,-22.64896441
0.543,-19.183948,-22.43409331
0.544,-18.900488,-22.21834902
0.545,-18.760823,-22.00174613
0.546,-17.785059,-21.78429928
0.547,-17.894284,-21.56602319
0.548,-18.191266,-21.34693263
0.549,-19.781428,-21.12704243
0.55,-20.344005,-20.90636749
0.551,-21.068171,-20.68492275
0.552,-21.786369,-20.46272324
0.553,-22.46175,-20.239784
0.554,-22.931644,-20.01612017
0.555,-22.998184,-19.79174693
0.556,-23.067741,-19.56667948
0.557,-23.073226,-19.34093312
0.558,-23.038539,-19.11452318
0.559,-22.944587,-18.88746501
0.56,-22.774279,-18.65977406
0.561,-22.483756,-18.43146578
0.562,-22.044949,-18.20255569
0.563,-21.491683,-17.97305934
0.564,-21.147058,-17.74299234
0.565,-20.965519,-17.51237031
0.566,-20.997297,-17.28120894
0.567,-21.117243,-17.04952394
0.568,-21.230356,-16.81733105
0.569,-21.357847,-16.58464607
0.57,-21.486303,-16.35148482
0.571,-21.650547,-16.11786314
0.572,-21.912075,-15.88379692
0.573,-22.269536,-15.64930207
0.574,-22.473069,-15.41439453
0.575,-22.564923,-15.17909027
0.576,-22.531867,-14.94340528
0.577,-22.38836,-14.70735558
0.578,-22.099155,-14.4709572
0.579,-21.699998,-14.23422621
0.58,-21.492321,-13.99717869
0.581,-21.161739,-13.75983074
0.582,-20.919896,-13.52219847
0.583,-20.722221,-13.28429803
0.584,-20.57336,-13.04614554
0.585,-20.382649,-12.80775719
0.586,-20.122063,-12.56914913
0.587,-19.839037,-12.33033756
0.588,-19.577565,-12.09133866
0.589,-19.318857,-11.85216863
0.59,-19.026248,-11.61284368
0.591,-18.677011,-11.37338002
0.592,-18.369592,-11.13379386
0.593,-18.117903,-10.89410143
0.594,-17.980803,-10.65431893
0.595,-17.960992,-10.41446258
0.596,-18.033658,-10.1745486
0.597,-18.177866,-9.934593199
0.598,-18.471724,-9.69461258
0.599,-18.760937,-9.454622945
0.6,-19.073523,-9.214640486
0.601,-19.359831,-8.974681386
0.602,-19.58791,-8.734761817
0.603,-19.782753,-8.494897942
0.604,-19.766993,-8.255105907
0.605,-19.715492,-8.015401847
0.606,-19.513905,-7.775801879
0.607,-19.209197,-7.536322104
0.608,-18.83793,-7.296978604
0.609,-18.348062,-7.057787441
0.61,-17.841015,-6.818764656
0.611,-17.27243,-6.579926265
0.612,-16.660001,-6.341288264
0.613,-11.296898,-6.102866621
0.614,-10.67017,-5.864677277
0.615,-10.046452,-5.626736146
0.616,-9.504829,-5.389059111
0.617,-9.112903,-5.151662027
0.618,-8.791969,-4.914560713
0.619,-12.390207,-4.677770958
0.62,-12.093205,-4.441308514
0.621,-11.926505,-4.205189097
0.622,-11.862469,-3.969428386
0.623,-12.016065,-3.734042021
0.624,-12.175266,-3.4990456
0.625,-12.312351,-3.264454683
0.626,-12.434869,-3.030284784
0.627,-12.454587,-2.796551374
0.628,-12.522063,-2.563269879
0.629,-12.705031,-2.330455677
0.63,-12.907055,-2.098124098
0.631,-13.062565,-1.866290424
0.632,-13.206323,-1.634969885
0.633,-13.291648,-1.404177658
0.634,-13.357121,-1.173928869
0.635,-13.409816,-0.944238589
0.636,-8.055992,-0.71512183
0.637,-13.377237,-0.486593551
0.638,-13.363688,-0.258668651
0.639,-13.148273,-0.031361968
0.64,-12.781977,0.195311719
0.641,-12.27097,0.421337695
0.642,-11.685468,0.646701307
0.643,-11.006187,0.871387967
0.644,-10.445023,1.095383153
0.645,-10.013065,1.318672411
0.646,-9.694054,1.541241355
0.647,-4.915523,1.763075667
0.648,-4.865307,1.984161102
0.649,-4.858209,2.204483486
0.65,-4.745912,2.424028718
0.651,-4.836393,2.642782772
0.652,-4.890744,2.860731698
0.653,-4.926355,3.077861622
0.654,-4.757241,3.294158747
0.655,-4.681676,3.509609357
0.656,-4.427937,3.724199816
0.657,-4.157451,3.937916568
0.658,-3.949543,4.150746141
0.659,-3.786642,4.362675146
0.66,-3.571133,4.57369028
0.661,-3.287238,4.783778323
0.662,-3.031106,4.992926146
0.663,-2.941728,5.201120706
0.664,-2.612287,5.408349049
0.665,-2.416306,5.614598312
0.666,-2.221425,5.819855723
0.667,-1.892391,6.024108604
0.668,-1.483004,6.227344369
0.669,-1.223647,6.429550527
0.67,-0.723876,6.630714682
0.671,-0.350463,6.830824537
0.672,0.109913,7.029867891
0.673,0.437394,7.227832642
0.674,0.869847,7.424706788
0.675,1.349527,7.620478428
0.676,1.837187,7.815135762
0.677,2.284552,8.008667095
0.678,3.031058,8.201060832
0.679,3.433277,8.392305486
0.68,3.860427,8.582389675
0.681,4.039457,8.771302123
0.682,4.492528,8.959031662
0.683,4.721177,9.145567232
0.684,4.820417,9.330897884
0.685,4.956465,9.515012778
0.686,4.888352,9.697901185
0.687,4.865426,9.879552489
0.688,4.793026,10.05995619
0.689,4.738717,10.23910189
0.69,3.582813,10.41697932
0.691,3.567194,10.59357833
0.692,3.425961,10.76888886
0.693,3.301459,10.942901
0.694,4.42599,11.11560493
0.695,4.496213,11.28699098
0.696,4.724534,11.45704956
0.697,4.899216,11.62577124
0.698,5.159586,11.79314669
0.699,5.459425,11.9591667
0.7,5.878231,12.12382219
0.701,6.124429,12.28710421
0.702,6.496462,12.44900391
0.703,6.700508,12.6095126
0.704,6.852153,12.76862169
0.705,7.019744,12.92632272
0.706,7.240919,13.08260736
0.707,7.547782,13.23746742
0.708,7.712809,13.39089482
0.709,7.530747,13.54288162
0.71,7.493783,13.69342
0.711,7.34419,13.84250228
0.712,7.565173,13.99012091
0.713,7.769314,14.13626846
0.714,7.964086,14.28093766
0.715,8.053235,14.42412134
0.716,8.129366,14.56581249
0.717,8.16601,14.70600421
0.718,8.199772,14.84468975
0.719,8.298237,14.98186249
0.72,8.45042,15.11751596
0.721,8.542682,15.2516438
0.722,8.658222,15.38423981
0.723,8.727974,15.51529792
0.724,8.896451,15.64481218
0.725,9.00541,15.7727768
0.726,8.86654,15.89918612
0.727,8.939813,16.02403464
0.728,9.106379,16.14731695
0.729,9.419023,16.26902783
0.73,9.868642,16.38916218
0.731,10.165883,16.50771503
0.732,10.320793,16.62468157
0.733,10.486424,16.74005713
0.734,10.573943,16.85383716
0.735,10.832889,16.96601727
0.736,11.026079,17.07659323
0.737,11.147061,17.1855609
0.738,11.261579,17.29291635
0.739,11.190498,17.39865573
0.74,11.001621,17.50277538
0.741,10.73658,17.60527176
0.742,10.484028,17.70614149
0.743,10.371139,17.80538131
0.744,10.224299,17.90298813
0.745,10.250947,17.99895899
0.746,10.377386,18.09329109
0.747,10.666956,18.18598175
0.748,10.997931,18.27702846
0.749,11.391994,18.36642885
0.75,11.900411,18.45418068
0.751,12.486782,18.54028187
0.752,13.131872,18.62473049
0.753,13.784035,18.70752475
0.754,14.372454,18.78866301
0.755,14.825998,18.86814376
0.756,15.1165,18.94596565
0.757,15.213488,19.02212749
0.758,15.283839,19.09662821
0.759,15.290061,19.1694669
0.76,15.325743,19.2406428
0.761,15.491455,19.31015529
0.762,15.630474,19.37800389
0.763,15.750003,19.44418828
0.764,15.996067,19.50870829
0.765,16.414292,19.57156388
0.766,16.917435,19.63275516
0.767,17.35674,19.6922824
0.768,17.649143,19.75014601
0.769,17.747064,19.80634653
0.77,17.658311,19.86088467
0.771,17.336908,19.91376127
0.772,16.97284,19.96497732
0.773,16.377132,20.01453397
0.774,15.598303,20.06243249
0.775,14.941705,20.10867431
0.776,14.571492,20.153261
0.777,14.519113,20.19619429
0.778,14.465535,20.23747604
0.779,14.515592,20.27710825
0.78,14.65598,20.31509307
0.781,14.876133,20.35143281
0.782,15.189576,20.3861299
0.783,15.553628,20.41918693
0.784,16.028982,20.45060663
0.785,16.328646,20.48039185
0.786,16.560185,20.50854563
0.787,16.800526,20.5350711
0.788,17.120166,20.55997157
0.789,17.608694,20.58325048
0.79,17.605969,20.60491141
0.791,17.555979,20.62495808
0.792,17.508857,20.64339435
0.793,17.476876,20.66022422
0.794,17.473791,20.67545184
0.795,17.300057,20.68908148
0.796,17.193111,20.70111757
0.797,16.957607,20.71156466
0.798,16.686576,20.72042746
0.799,16.602696,20.72771079
0.8,16.629121,20.73341962
0.801,16.690151,20.73755907
0.802,16.68631,20.74013437
0.803,16.768501,20.74115091
0.804,16.839359,20.7406142
0.805,16.818891,20.73852989
0.806,16.752466,20.73490376
0.807,16.700668,20.72974173
0.808,16.577944,20.72304985
0.809,16.536394,20.71483429
0.81,16.551616,20.70510138
0.811,16.605668,20.69385755
0.812,16.809433,20.68110937
