Ua,deadzone_percentage
0.0,54.907843003568104
0.125,54.10710362643273
0.25,52.033665901532544
0.375,49.3314545881533
0.5,42.77781565570479
0.625,39.64379597433392
0.75,29.74099073505905
0.875,12.645924713832262
1.0,4.142330098558366
