time,theta_t,theta_t_fit
1.99,23.026333,18.27798955
2,20.685212,17.5151638
2.01,17.112628,16.47603203
2.02,13.415189,15.17698681
2.03,12.121809,13.63852088
2.04,10.163986,11.88490393
2.05,8.306506,9.943799699
2.06,6.72613,7.84582958
2.07,5.540188,5.62408957
2.08,3.404733,3.313628163
2.09,1.539947,0.950893457
2.1,0.055596,-1.426841827
2.11,-1.072909,-3.782068331
2.12,-1.710152,-6.077631776
2.13,-2.631107,-8.277319085
2.14,-8.179413,-10.34642965
2.15,-9.196484,-12.25232274
2.16,-10.671363,-13.96493243
2.17,-11.78711,-15.45724187
2.18,-12.397513,-16.70570952
2.19,-12.398615,-17.69064049
2.2,-11.888036,-18.39649726
2.21,-10.703749,-18.81214475
2.22,-9.513339,-18.93102604
2.23,-8.540978,-18.75126573
2.24,-7.556599,-18.27569959
2.25,-6.810227,-17.5118298
2.26,-6.527609,-16.47170658
2.27,-6.348721,-15.17173814
2.28,-6.275055,-13.6324318
2.29,-6.189569,-11.8780705
2.3,-5.641808,-9.936329707
2.31,-4.575837,-7.837840871
2.32,-2.897103,-5.615708168
2.33,-0.808495,-3.304986287
2.34,0.959824,-0.942127434
2.35,2.824647,1.435593711
2.36,4.37175,3.790668012
2.37,6.501867,6.085943593
2.38,7.894378,8.285211916
2.39,5.054506,10.35377898
2.4,6.626899,12.25901264
2.41,14.96384,13.97085736
2.42,10.146928,15.46230836
2.43,20.173846,16.70983765
2.44,22.433098,17.69376514
2.45,23.773015,18.39856913
2.46,24.722861,18.81313116
2.47,25.541289,18.93091143
2.48,26.105866,18.75005191
2.49,26.245972,18.27340571
2.5,25.283256,17.50849203
2.51,22.555072,16.46737759
2.52,17.870096,15.16648622
2.53,11.795513,13.6263398
2.54,10.043042,11.87123451
2.55,8.278008,9.928857579
2.56,6.401763,7.829850478
2.57,4.760391,5.607325559
2.58,2.962429,3.2963437
2.59,1.224956,0.933361208
2.6,-0.458714,-1.444345286
2.61,-2.744037,-3.799266879
2.62,-4.091417,-6.094254101
2.63,-12.886015,-8.293102966
2.64,-15.021959,-10.36112609
2.65,-16.74329,-12.2656999
2.66,-18.310245,-13.97677928
2.67,-19.307289,-15.46737153
2.68,-20.383226,-16.71396219
2.69,-20.933598,-17.69688598
2.7,-21.167676,-18.40063704
2.71,-20.337715,-18.81411353
2.72,-17.550439,-18.93079275
2.73,-15.079882,-18.74883405
2.74,-12.812596,-18.27110789
2.75,-10.951481,-17.5051505
2.76,-10.005643,-16.46304506
2.77,-9.786269,-15.16123104
2.78,-9.579576,-13.62024486
2.79,-9.821081,-11.86439597
2.8,-6.743154,-9.921383318
2.81,-5.719406,-7.821858402
2.82,-4.505834,-5.598941745
2.83,-2.663546,-3.287700405
2.84,-2.96918,-0.924594782
2.85,-0.710148,1.453096551
2.86,1.297631,3.807864929
2.87,2.860999,6.1025633
2.88,4.265778,8.300992234
2.89,3.020595,10.36847097
2.9,7.757151,12.27238453
2.91,4.277952,13.98269821
2.92,10.899176,15.47243138
2.93,13.459278,16.71808314
2.94,15.880383,17.70000302
2.95,17.857047,18.40270101
2.96,19.256724,18.81509186
2.97,20.369156,18.93067
2.98,21.228107,18.74761217
2.99,21.833805,18.26880615
3,22.074763,17.50180521
3.01,21.805666,16.458709
3.02,19.565921,15.1559726
3.03,16.308423,13.614147
3.04,11.54971,11.85755488
3.05,7.346048,9.913906925
3.06,4.151545,7.813864645
3.07,1.329779,5.590556727
3.08,-2.464678,3.279056403
3.09,-4.604441,0.915828157
3.1,0.142745,-1.461847504
3.11,-1.760649,-3.81646216
3.12,-12.943949,-6.110871187
3.13,-14.422403,-8.308879718
3.14,-16.666321,-10.37581363
3.15,-18.939553,-12.27906652
3.16,-20.858824,-13.98861413
3.17,-21.428038,-15.4774879
3.18,-22.049632,-16.72220049
3.19,-21.998417,-17.70311626
3.2,-20.81545,-18.40476102
3.21,-17.885726,-18.81606614
3.22,-14.537502,-18.93054319
3.23,-11.004315,-18.74638626
3.24,-9.92461,-18.26650048
3.25,-8.36977,-17.49845616
3.26,-7.289433,-16.45436939
3.27,-6.520525,-15.1507109
3.28,-6.066206,-13.60804621
3.29,-5.339855,-11.85071125
3.3,-4.06092,-9.9064284
3.31,-2.903111,-7.805869208
3.32,-1.386403,-5.582170509
3.33,-2.893981,-3.270411696
3.34,-1.019874,-0.907061335
3.35,0.523024,1.470598142
3.36,0.446439,3.825058572
3.37,4.2848,6.119177761
3.38,2.146011,8.316765417
3.39,3.039107,10.38315405
3.4,9.807264,12.28574588
3.41,12.521455,13.99452704
3.42,15.318537,15.48254109
3.43,17.827338,16.72631426
3.44,20.030889,17.7062257
3.45,21.795963,18.40681707
3.46,23.011187,18.81703637
3.47,23.733188,18.9304123
3.48,24.341416,18.74515632
3.49,24.419681,18.26419089
3.5,23.456911,17.49510335
3.51,22.186576,16.45002625
3.52,18.957928,15.14544594
3.53,15.202344,13.6019425
3.54,11.76791,11.84386506
3.55,8.919935,9.898947747
3.56,7.424509,7.797872094
3.57,6.471694,5.57378309
3.58,4.467146,3.261766287
3.59,2.3038,0.898294318
3.6,-0.086418,-1.479348464
3.61,-2.192735,-3.833654161
3.62,-3.425293,-6.12748302
3.63,-4.779791,-8.324649327
3.64,-15.725269,-10.39049224
3.65,-17.795603,-12.29242259
3.66,-18.853594,-14.00043694
3.67,-19.420264,-15.48759096
3.68,-19.984394,-16.73042442
3.69,-19.746736,-17.70933132
3.7,-17.78177,-18.40886916
3.71,-15.007588,-18.81800257
3.72,-13.201955,-18.93027735
3.73,-12.178331,-18.74392235
3.74,-11.763844,-18.26187737
3.75,-9.088016,-17.49174677
3.76,-8.611301,-16.44567957
3.77,-8.277989,-15.14017773
3.78,-7.944073,-13.59583586
3.79,-11.788771,-11.83701634
3.8,-10.627173,-9.891464966
3.81,-9.555192,-7.789873304
3.82,-7.077857,-5.565394474
3.83,-4.646174,-3.253120176
3.84,-2.362502,-0.889527108
3.85,-0.106135,1.488098469
3.86,1.821455,3.842248927
3.87,3.262113,6.135786962
3.88,5.125486,8.332531449
3.89,6.917852,10.3978282
3.9,0.247544,12.29909666
3.91,2.198847,14.00634384
3.92,4.177256,15.4926375
3.93,6.019491,16.73453099
3.94,8.109537,17.71243314
3.95,20.311801,18.41091731
3.96,21.590723,18.81896472
3.97,22.449614,18.93013833
3.98,23.093861,18.74268435
3.99,23.347739,18.25955992
4,22.354536,17.48838644
